sha,file_name,added_lines,deleted_lines,nloc,file_complexity,methods_before,changed_methods,token_count
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,TestCredentialReader.java,52,0,25,2,0,2,198
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,Testbuildks.java,72,0,42,6,0,3,354
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,buildks.java,315,0,270,54,0,9,1719
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,xapolicymgr.properties,29,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,pom.xml,47,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,startpolicymgr.sh,14,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,stoppolicymgr.sh,11,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,xapolicymgr,21,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,EmbededServer.java,160,0,128,17,0,7,927
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,StopEmbededServer.java,43,0,27,4,0,3,175
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,hbase-site-changes.cfg,6,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,xasecure-audit-changes.cfg,5,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,xasecure-audit.xml,90,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,xasecure-hbase-security-changes.cfg,10,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,xasecure-hbase-security.xml,64,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,xasecure-policymgr-ssl-changes.cfg,9,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,xasecure-policymgr-ssl.xml,47,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,pom.xml,39,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,install.properties,78,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,install.sh,261,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,uninstall.sh,54,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,Crypt.java,84,0,51,7,0,4,448
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,HBaseAccessController.java,39,0,15,0,0,0,186
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,HBaseAccessControllerFactory.java,61,0,33,7,0,1,252
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,XaSecureAccessControlFilter.java,50,0,24,3,0,2,181
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,XaSecureAuthorizationCoprocessor.java,951,0,892,235,0,116,8468
