sha,file_name,added_lines,deleted_lines,nloc,file_complexity,methods_before,changed_methods,token_count
83c52a8d7ab0be9215a70351b2a4d27938092d72,TTransportException.java,26,0,16,4,0,4,79
83c52a8d7ab0be9215a70351b2a4d27938092d72,Int32.java,75,0,52,13,0,10,434
83c52a8d7ab0be9215a70351b2a4d27938092d72,Int64.java,90,0,60,13,0,10,638
83c52a8d7ab0be9215a70351b2a4d27938092d72,UInt32.java,89,0,59,16,0,12,491
83c52a8d7ab0be9215a70351b2a4d27938092d72,UInt64.java,126,0,82,19,0,11,820
83c52a8d7ab0be9215a70351b2a4d27938092d72,UInt8.java,60,0,40,12,0,10,252
9577100f3c317ed0bc5974bd8b12cc07675263a0,Makefile,7,6,,,0,0,
9577100f3c317ed0bc5974bd8b12cc07675263a0,TestClient.cc,34,8,267,28,1,2,1804
9577100f3c317ed0bc5974bd8b12cc07675263a0,TestServer.cc,3,3,211,30,18,4,1323
9577100f3c317ed0bc5974bd8b12cc07675263a0,TestClient,2,0,,,0,0,
9577100f3c317ed0bc5974bd8b12cc07675263a0,TestServer,2,0,,,0,0,
9577100f3c317ed0bc5974bd8b12cc07675263a0,build.xml,36,0,,,0,0,
9577100f3c317ed0bc5974bd8b12cc07675263a0,TestClient.java,351,0,259,28,0,1,2314
9577100f3c317ed0bc5974bd8b12cc07675263a0,TestServer.java,230,0,187,27,0,18,1537
d173407b7f9198c0be7db2ec69ce0c8bed52716b,Makefile,2,3,,,0,0,
f3c322b4a36ca67e77d53ae0bf337853812e4f14,TBinaryProtocol.cc,20,19,210,34,33,16,1269
f3c322b4a36ca67e77d53ae0bf337853812e4f14,TBinaryProtocol.h,6,6,73,2,2,0,470
f3c322b4a36ca67e77d53ae0bf337853812e4f14,TProtocol.h,9,9,186,18,3,1,1046
f3c322b4a36ca67e77d53ae0bf337853812e4f14,TBinaryProtocol.java,15,15,192,34,33,10,1249
f3c322b4a36ca67e77d53ae0bf337853812e4f14,TField.java,3,3,16,3,3,3,107
f3c322b4a36ca67e77d53ae0bf337853812e4f14,TList.java,3,3,14,3,3,3,89
f3c322b4a36ca67e77d53ae0bf337853812e4f14,TMap.java,3,3,16,3,3,3,110
f3c322b4a36ca67e77d53ae0bf337853812e4f14,TSet.java,3,3,14,3,3,3,89
4e0d962693645a202bc47c0bc01b0a2c3660d70d,Makefile,6,6,,,0,0,
4e0d962693645a202bc47c0bc01b0a2c3660d70d,TProcessor.h,0,0,,,0,0,
4e0d962693645a202bc47c0bc01b0a2c3660d70d,Thrift.h,0,0,,,0,0,
4e0d962693645a202bc47c0bc01b0a2c3660d70d,TBinaryProtocol.cc,0,0,,,0,0,
4e0d962693645a202bc47c0bc01b0a2c3660d70d,TBinaryProtocol.h,0,0,,,0,0,
4e0d962693645a202bc47c0bc01b0a2c3660d70d,TProtocol.h,0,0,,,0,0,
4e0d962693645a202bc47c0bc01b0a2c3660d70d,TServer.h,0,0,,,0,0,
4e0d962693645a202bc47c0bc01b0a2c3660d70d,TSimpleServer.cc,0,0,,,0,0,
4e0d962693645a202bc47c0bc01b0a2c3660d70d,TSimpleServer.h,0,0,,,0,0,
4e0d962693645a202bc47c0bc01b0a2c3660d70d,TBufferedTransport.cc,0,0,,,0,0,
4e0d962693645a202bc47c0bc01b0a2c3660d70d,TBufferedTransport.h,0,0,,,0,0,
4e0d962693645a202bc47c0bc01b0a2c3660d70d,TNullTransport.h,0,0,,,0,0,
4e0d962693645a202bc47c0bc01b0a2c3660d70d,TServerSocket.cc,0,0,,,0,0,
4e0d962693645a202bc47c0bc01b0a2c3660d70d,TServerSocket.h,0,0,,,0,0,
4e0d962693645a202bc47c0bc01b0a2c3660d70d,TServerTransport.h,0,0,,,0,0,
4e0d962693645a202bc47c0bc01b0a2c3660d70d,TSocket.cc,0,0,,,0,0,
4e0d962693645a202bc47c0bc01b0a2c3660d70d,TSocket.h,0,0,,,0,0,
4e0d962693645a202bc47c0bc01b0a2c3660d70d,TTransport.h,0,0,,,0,0,
4e0d962693645a202bc47c0bc01b0a2c3660d70d,TTransportException.h,0,0,,,0,0,
6e53644ce5ebbf5e3a5f1fb3df2398534b1c965e,Makefile,2,1,,,0,0,
6e53644ce5ebbf5e3a5f1fb3df2398534b1c965e,t_cpp_generator.cc,6,5,804,134,28,2,5694
6e53644ce5ebbf5e3a5f1fb3df2398534b1c965e,t_php_generator.cc,924,0,661,129,0,27,4858
6e53644ce5ebbf5e3a5f1fb3df2398534b1c965e,t_php_generator.h,98,0,53,2,0,2,367
6e53644ce5ebbf5e3a5f1fb3df2398534b1c965e,main.cc,11,2,125,24,5,2,701
6e53644ce5ebbf5e3a5f1fb3df2398534b1c965e,Makefile,1,0,,,0,0,
6e53644ce5ebbf5e3a5f1fb3df2398534b1c965e,TBinaryProtocol.cc,5,1,211,34,33,1,1278
6e53644ce5ebbf5e3a5f1fb3df2398534b1c965e,TBufferedTransport.cc,1,1,46,10,3,1,273
6e53644ce5ebbf5e3a5f1fb3df2398534b1c965e,TBufferedTransport.h,4,0,54,8,7,1,316
6e53644ce5ebbf5e3a5f1fb3df2398534b1c965e,TChunkedTransport.cc,97,0,61,13,0,4,352
6e53644ce5ebbf5e3a5f1fb3df2398534b1c965e,TChunkedTransport.h,76,0,48,8,0,6,234
6e53644ce5ebbf5e3a5f1fb3df2398534b1c965e,Thrift.php,9,0,6,0,0,0,26
6e53644ce5ebbf5e3a5f1fb3df2398534b1c965e,TBinaryProtocol.php,195,0,150,33,0,29,913
6e53644ce5ebbf5e3a5f1fb3df2398534b1c965e,TProtocol.php,157,0,90,1,0,1,669
6e53644ce5ebbf5e3a5f1fb3df2398534b1c965e,TType.php,19,0,11,0,0,0,49
6e53644ce5ebbf5e3a5f1fb3df2398534b1c965e,TBufferedTransport.php,108,0,53,11,0,8,334
6e53644ce5ebbf5e3a5f1fb3df2398534b1c965e,TChunkedTransport.php,106,0,46,9,0,5,285
6e53644ce5ebbf5e3a5f1fb3df2398534b1c965e,TSocket.php,126,0,56,14,0,8,329
6e53644ce5ebbf5e3a5f1fb3df2398534b1c965e,TTransport.php,72,0,18,3,0,2,96
6e53644ce5ebbf5e3a5f1fb3df2398534b1c965e,ThriftTest.thrift,1,5,,,0,0,
6e53644ce5ebbf5e3a5f1fb3df2398534b1c965e,Makefile,16,7,,,0,0,
6e53644ce5ebbf5e3a5f1fb3df2398534b1c965e,TestClient.cc,9,33,251,28,2,1,1712
6e53644ce5ebbf5e3a5f1fb3df2398534b1c965e,TestServer.cc,6,26,193,28,18,6,1239
6e53644ce5ebbf5e3a5f1fb3df2398534b1c965e,TestClient.java,11,35,243,28,1,1,2138
6e53644ce5ebbf5e3a5f1fb3df2398534b1c965e,TestServer.java,9,27,171,25,18,7,1403
6e53644ce5ebbf5e3a5f1fb3df2398534b1c965e,Makefile,27,0,,,0,0,
6e53644ce5ebbf5e3a5f1fb3df2398534b1c965e,TestClient.php,327,0,228,7,0,3,1321
66949879ffaa724ff2789bd62a2b8820bf45f13f,Monitor.cc,138,0,64,19,0,15,437
66949879ffaa724ff2789bd62a2b8820bf45f13f,Monitor.h,59,0,26,2,0,2,122
66949879ffaa724ff2789bd62a2b8820bf45f13f,Mutex.cc,38,0,26,8,0,7,163
66949879ffaa724ff2789bd62a2b8820bf45f13f,Mutex.h,43,0,23,3,0,3,97
66949879ffaa724ff2789bd62a2b8820bf45f13f,PosixThreadFactory.cc,215,0,114,28,0,19,768
66949879ffaa724ff2789bd62a2b8820bf45f13f,PosixThreadFactory.h,76,0,31,0,0,0,146
66949879ffaa724ff2789bd62a2b8820bf45f13f,Thread.h,59,0,20,3,0,3,104
66949879ffaa724ff2789bd62a2b8820bf45f13f,ThreadManager.cc,303,0,166,42,0,24,1023
66949879ffaa724ff2789bd62a2b8820bf45f13f,ThreadManager.h,122,0,47,0,0,0,312
0e53ccdb8bf0cee0d17fed331d32dd012cec2552,Makefile,63,7,,,0,0,
0e53ccdb8bf0cee0d17fed331d32dd012cec2552,Monitor.cc,4,25,57,18,15,2,368
0e53ccdb8bf0cee0d17fed331d32dd012cec2552,Monitor.h,4,4,26,2,2,0,122
0e53ccdb8bf0cee0d17fed331d32dd012cec2552,Mutex.cc,5,0,26,8,7,0,163
0e53ccdb8bf0cee0d17fed331d32dd012cec2552,Mutex.h,5,0,23,3,3,0,97
0e53ccdb8bf0cee0d17fed331d32dd012cec2552,PosixThreadFactory.cc,5,2,114,28,19,0,768
0e53ccdb8bf0cee0d17fed331d32dd012cec2552,PosixThreadFactory.h,2,1,31,0,0,0,146
0e53ccdb8bf0cee0d17fed331d32dd012cec2552,Thread.h,4,1,20,3,3,0,104
