name,star,commit,contributor,time,language
spark,36637,38014,331,"3480 days, 20:15:45","{'Scala': 66.67474536598938, 'Python': 15.229437225379844, 'Java': 6.500725067838915, 'Jupyter Notebook': 5.797992036404625, 'HiveQL': 2.4897064199952026, 'R': 1.741018394115158, 'PLpgSQL': 0.47212122360361086, 'Shell': 0.35896096617155676, 'JavaScript': 0.30054448541070855, 'q': 0.1487947257666301, 'ANTLR': 0.0892749609482298, 'HTML': 0.060712757652476634, 'Batchfile': 0.03679666561850218, 'CSS': 0.035551454242866966, 'Roff': 0.025012681406711274, 'Dockerfile': 0.022437905626768777, 'PowerShell': 0.007962658119250145, 'Makefile': 0.0031853310350926675, 'Thrift': 0.0026992969175060185, 'C': 0.00199903288583159, 'ReScript': 0.00032134487113166885}"
spark,36637,38014,331,"3480 days, 20:15:45","{'Scala': 66.67474536598938, 'Python': 15.229437225379844, 'Java': 6.500725067838915, 'Jupyter Notebook': 5.797992036404625, 'HiveQL': 2.4897064199952026, 'R': 1.741018394115158, 'PLpgSQL': 0.47212122360361086, 'Shell': 0.35896096617155676, 'JavaScript': 0.30054448541070855, 'q': 0.1487947257666301, 'ANTLR': 0.0892749609482298, 'HTML': 0.060712757652476634, 'Batchfile': 0.03679666561850218, 'CSS': 0.035551454242866966, 'Roff': 0.025012681406711274, 'Dockerfile': 0.022437905626768777, 'PowerShell': 0.007962658119250145, 'Makefile': 0.0031853310350926675, 'Thrift': 0.0026992969175060185, 'C': 0.00199903288583159, 'ReScript': 0.00032134487113166885}"
mahout,2092,4555,42,"3386 days, 15:06:54","{'Java': 80.65612187321322, 'Scala': 13.990544881128402, 'Perl': 1.8814171030061868, 'Raku': 1.3999938627523552, 'Shell': 1.088497232289187, 'Batchfile': 0.31532927899238916, 'HTML': 0.2954646366154457, 'SCSS': 0.15795271438564584, 'Dockerfile': 0.09602913814881824, 'JavaScript': 0.07075369784826845, 'XSLT': 0.026327539896806567, 'Ruby': 0.02156804172326399}"
ant,381,14965,70,"3372 days, 0:04:06","{'Java': 77.709665653669, 'HTML': 17.742400713262022, 'XSLT': 3.638940128292946, 'GAP': 0.28891806884720106, 'Shell': 0.24963694902836528, 'Batchfile': 0.23040482394040307, 'Perl': 0.07727745437406333, 'CSS': 0.03623570289769041, 'Python': 0.026520505688307446}"
flink,21908,33989,282,"3374 days, 8:09:26","{'Java': 85.49178789750074, 'Scala': 9.912058202680495, 'Python': 2.8225575145883157, 'Shell': 0.4743125697985934, 'TypeScript': 0.3567342339737369, 'HiveQL': 0.3318702971794973, 'HTML': 0.17576856191808035, 'GAP': 0.12550949198957265, 'Cython': 0.12381630365573179, 'Less': 0.07577982381886363, 'FreeMarker': 0.0597470261775979, 'ANTLR': 0.018480607802748423, 'q': 0.012144835240347636, 'JavaScript': 0.006315134866757787, 'Dockerfile': 0.006079147303535665, 'Makefile': 0.0046066925839634105, 'Batchfile': 0.001671653347082944, 'C': 0.0007600055743313223}"
ranger,781,4316,119,"3319 days, 5:01:32","{'Java': 65.64763586762963, 'JavaScript': 19.350961298425613, 'Python': 4.742234191387721, 'TSQL': 4.059359514002403, 'Shell': 2.3861849507128796, 'HTML': 1.5787476315815483, 'CSS': 0.8957346935044667, 'PLpgSQL': 0.5223949803790155, 'Jinja': 0.44561933031948925, 'PLSQL': 0.33327483711226263, 'C': 0.027498515361812612, 'Less': 0.01035418958316296}"
qpid-proton,209,4634,51,"3220 days, 6:15:39","{'C++': 34.4629061897918, 'C': 33.35190285706658, 'Python': 16.594248490484603, 'Ruby': 6.530539598916086, 'Go': 5.770856230060381, 'CMake': 2.222291437699396, 'SWIG': 0.5979505297208787, 'Shell': 0.44221570607944255, 'Dockerfile': 0.027088960180830377}"
nifi,3976,8800,318,"3185 days, 12:03:34","{'Java': 89.08536766906717, 'JavaScript': 6.748230006733744, 'HTML': 1.9296961627269589, 'Groovy': 1.0726782448744476, 'CSS': 0.46452961511259255, 'Shell': 0.20650672303179685, 'Python': 0.18081871910321726, 'Handlebars': 0.060193841080034706, 'Batchfile': 0.059793380531921576, 'GAP': 0.048392576773716396, 'Dockerfile': 0.041942081483340374, 'SCSS': 0.03393441075395524, 'Ruby': 0.033862019808719404, 'XSLT': 0.02108578809103337, 'Clojure': 0.0061501498792911795, 'Mustache': 0.0037550877549992227, 'TypeScript': 0.0020592913570278756, 'C++': 0.001004231836037528}"
kylin,3519,8793,192,"3076 days, 23:03:36","{'Java': 59.02993901075612, 'JavaScript': 13.839130235110863, 'Inno Setup': 9.181294122341367, 'Scala': 5.306869778440629, 'C++': 4.477322706955755, 'HTML': 3.854518707458666, 'Shell': 1.488262525531388, 'Python': 0.8557616804452719, 'CSS': 0.7397232634703715, 'Less': 0.39098313817929675, 'FreeMarker': 0.37269615220433844, 'C': 0.24656940208557465, 'Dockerfile': 0.21692927702035814}"
ignite,4527,28659,249,"3120 days, 4:44:05","{'Java': 79.08624878830139, 'C#': 12.349493064898486, 'C++': 7.157708926523537, 'Python': 0.5722147584716253, 'Shell': 0.4878161483839241, 'CMake': 0.08656601800575717, 'Batchfile': 0.0777629095995768, 'Jinja': 0.06037915401047691, 'FreeMarker': 0.029917856511112666, 'HTML': 0.02278797430560159, 'Dockerfile': 0.021561259560191618, 'PHP': 0.01760462780362318, 'PowerShell': 0.014655427586678996, 'C': 0.012078055414327991, 'JavaScript': 0.001724074480271789, 'Makefile': 0.0014809561434224031}"
openmeetings,588,3671,16,"3093 days, 22:46:00","{'Java': 81.89433948597986, 'HTML': 9.149465795461426, 'JavaScript': 6.772551263094815, 'SCSS': 1.5450085926549635, 'Shell': 0.17776638503582207, 'CSS': 0.1654871217689835, 'XSLT': 0.14718139980206055, 'FreeMarker': 0.10901382803485953, 'Batchfile': 0.03918612816721528}"
samza,782,2585,131,"3091 days, 18:01:10","{'Java': 86.74310038789608, 'Scala': 11.475080477064834, 'Python': 0.8147142076557904, 'Shell': 0.573419638673193, 'Scaml': 0.19207232945962152, 'Less': 0.06939650329434242, 'XSLT': 0.06591371028330761, 'JavaScript': 0.031243246878245725, 'HTML': 0.029474062130619004, 'CSS': 0.0055854366639733685}"
zeppelin,6134,5273,330,"3082 days, 1:35:54","{'Java': 61.01809324109225, 'Jupyter Notebook': 14.254929185304457, 'JavaScript': 10.32578153216701, 'TypeScript': 4.021447617329957, 'HTML': 3.393925618035571, 'Scala': 2.5117071588794286, 'Python': 0.8754396721267278, 'Less': 0.8358747974304757, 'CSS': 0.7577289405553833, 'Shell': 0.7398561843532581, 'Roff': 0.4892579854498566, 'Dockerfile': 0.2387604999537493, 'Jinja': 0.17627170432031078, 'R': 0.10342492210592664, 'Batchfile': 0.09236968885909838, 'Thrift': 0.0830110891659179, 'Groovy': 0.071847395326619, 'XSLT': 0.0102727675440044}"
singa,2929,2583,61,"2921 days, 19:43:24","{'C++': 70.23589959729944, 'Python': 20.967202990683138, 'C': 4.730960357970004, 'Cuda': 1.0715673319427153, 'SWIG': 0.9857038945500771, 'CMake': 0.950668265406918, 'Dockerfile': 0.6077374356743235, 'Shell': 0.37963980235721806, 'Java': 0.07062032411617396}"
groovy,4951,20479,356,"3062 days, 18:45:22","{'Java': 53.97872658806324, 'Groovy': 44.78954583157222, 'HTML': 0.3253979618606097, 'CSS': 0.3150631273696439, 'ANTLR': 0.23476578592918962, 'Shell': 0.22865133632160684, 'Batchfile': 0.0924201415943058, 'Smarty': 0.030749079806770815, 'JavaScript': 0.004680147482410741}"
sedona,1566,1345,100,"3057 days, 12:33:22","{'Java': 40.70737398934636, 'Scala': 29.750885751278926, 'Python': 15.761952804497891, 'Jupyter Notebook': 8.170439832243808, 'R': 3.3599615793288344, 'C': 1.6778257840701984, 'HTML': 0.1968091843699643, 'Shell': 0.17050932017929646, 'JavaScript': 0.14170261274637433, 'Dockerfile': 0.06253914193834398}"
geode,2238,11256,133,"2996 days, 3:16:07","{'Java': 83.98064860917285, 'HTML': 10.219187806360429, 'JavaScript': 4.503798674548967, 'Shell': 0.6971588935546527, 'CSS': 0.26314101399907863, 'Groovy': 0.10602687548710847, 'Go': 0.10297130219731132, 'Python': 0.0753800824579841, 'Dockerfile': 0.04035987368543318, 'SCSS': 0.006771332530452784, 'Ruby': 0.004555536005732336}"
mxnet,20539,11896,372,"2828 days, 5:07:30","{'C++': 48.485121885007246, 'Python': 34.68074580990133, 'Jupyter Notebook': 7.597480826607689, 'Cuda': 6.144363003361857, 'CMake': 0.8676313832504126, 'Shell': 0.6930895054223293, 'C': 0.6085405063242282, 'Groovy': 0.5335605127829048, 'Dockerfile': 0.22070227816311117, 'Cython': 0.10568122313441382, 'Makefile': 0.03614912981554174, 'PowerShell': 0.026933936228930495}"
orc,621,1494,111,"3044 days, 8:02:33","{'HTML': 75.99183050116454, 'Java': 13.392322669632458, 'C++': 9.70596037255758, 'CSS': 0.2932051275660348, 'CMake': 0.2734062089302294, 'SCSS': 0.1392469401576067, 'Python': 0.07570241924672554, 'Dockerfile': 0.05713260895598357, 'C': 0.026591359490103453, 'Shell': 0.025464993947878118, 'JavaScript': 0.01888184398825033, 'Ruby': 0.0002549543625983016}"
superset,54066,13911,427,"2969 days, 8:13:41","{'TypeScript': 38.892671443854255, 'Python': 32.238834068329005, 'Jupyter Notebook': 13.112169196176794, 'JavaScript': 9.625590044311442, 'HTML': 5.443423674626128, 'Less': 0.24927975205957273, 'Shell': 0.23369074614038696, 'MDX': 0.0753687320408222, 'Dockerfile': 0.028916643695773635, 'Jinja': 0.024240816723941537, 'CSS': 0.020960302010308164, 'Makefile': 0.018335890239401464, 'Smarty': 0.018296524062837865, 'Pug': 0.01298646424636998, 'Mako': 0.005235701482958864}"
hawq,693,1772,65,"2709 days, 1:00:37","{'C': 70.25458968802083, 'Python': 9.018240634151434, 'C++': 7.1628912731156875, 'Java': 4.936289860508845, 'PLpgSQL': 2.151441225427998, 'Perl': 1.7575511479763832, 'Makefile': 0.9987050332425075, 'Yacc': 0.8878220113587341, 'Shell': 0.8737665747755946, 'Smarty': 0.4559038582752064, 'HTML': 0.4045464502873581, 'Lex': 0.3806242092183654, 'CMake': 0.31418473913333694, 'M4': 0.15498872055880683, 'Roff': 0.10309933389550101, 'Batchfile': 0.031041422360904188, 'Fortran': 0.02758262767450879, 'Dockerfile': 0.01969627713483229, 'Thrift': 0.01765609224965681, 'CSS': 0.016780660674956625, 'XS': 0.015509511629389832, 'Assembly': 0.009698811219919312, 'sed': 0.0024079034783864345, 'DTrace': 0.002154046987641818, 'Raku': 0.001418609801219915, 'GDB': 0.0010751569019771985, 'Csound Score': 0.00033411994002416416}"
yetus,61,1423,76,"2807 days, 20:39:49","{'Shell': 79.60069071896876, 'Python': 9.99863673887743, 'Java': 4.92137265247697, 'Dockerfile': 2.2503906752939216, 'HTML': 1.6559835802771459, 'Ruby': 1.4628549212464246, 'Makefile': 0.10426423030024563, 'Perl': 0.005806482559093583}"
madlib,432,3000,49,"2769 days, 14:18:15","{'C++': 40.95011608968361, 'C': 38.91366623927181, 'Python': 13.245601875916876, 'CMake': 5.3413094454262975, 'Shell': 0.9806690462164005, 'PLpgSQL': 0.4798951149923184, 'Makefile': 0.07551605040949047, 'HTML': 0.01322613808319183}"
kudu,1746,10083,118,"2776 days, 4:49:38","{'C++': 79.20746115379154, 'Java': 10.637151705785627, 'C': 3.39156564488139, 'Python': 1.9121886050609267, 'Scala': 1.447938557411136, 'CMake': 0.9896702019390062, 'Shell': 0.7408148925375161, 'Cython': 0.6645636943730499, 'Thrift': 0.316076305171788, 'Clojure': 0.21106224012219257, 'Mustache': 0.15216410011322928, 'Perl': 0.14048519212111188, 'Dockerfile': 0.07150736259426452, 'R': 0.04512794631977158, 'JavaScript': 0.04312123467662303, 'Smarty': 0.01277068214279591, 'HTML': 0.007953805344203712, 'CSS': 0.005847142546415586, 'Makefile': 0.0025295330674171305}"
beam,7118,40226,302,"2773 days, 16:55:35","{'Java': 64.78780349079919, 'Python': 16.92994509773636, 'Go': 9.315318051097329, 'TypeScript': 2.878093130135141, 'Dart': 2.0577696290011986, 'Groovy': 1.41892590902132, 'Shell': 0.5951635058965568, 'SCSS': 0.4575171926837983, 'Kotlin': 0.3603628403966914, 'HCL': 0.34383434019924464, 'HTML': 0.2901023917670767, 'JavaScript': 0.17499298935213678, 'Cython': 0.10781766978883923, 'Dockerfile': 0.10531547829447706, 'Jupyter Notebook': 0.0876683681616571, 'Sass': 0.03949795926733026, 'CSS': 0.011385186141204925, 'FreeMarker': 0.011362269676459764, 'Rust': 0.00740201811268676, 'C': 0.005541487631189062, 'Lua': 0.005184850148592506, 'Thrift': 0.0046692296918264, 'ANTLR': 0.0022887819164228796, 'Scala': 0.0020381330832726897}"
commons-crypto,106,1263,25,"2697 days, 8:02:26","{'Java': 88.21554612748284, 'C': 9.122775165946821, 'Makefile': 0.7931047662729809, 'Shell': 0.7284460242836576, 'HTML': 0.7144313215864643, 'Dockerfile': 0.42569659442724456}"
impala,1002,10955,160,"2701 days, 6:33:07","{'C++': 51.035570601756255, 'Java': 26.387881283004738, 'Python': 15.333362632696378, 'C': 2.5990724443827125, 'JavaScript': 1.2616520443317791, 'Thrift': 1.0517744344324762, 'Shell': 0.8888611843940366, 'CMake': 0.7335940029867598, 'CSS': 0.5609805166252033, 'Lex': 0.07687912787850709, 'Dockerfile': 0.052807325740199675, 'PLpgSQL': 0.009332514946162168, 'Cython': 0.008231886824794128}"
nifi-minifi-cpp,129,1563,36,"2694 days, 4:20:35","{'C++': 82.78372077079784, 'CMake': 5.564718883356983, 'Python': 4.831606639754712, 'Gherkin': 2.3140633145562925, 'C': 2.0771222919332692, 'Shell': 0.9676554086892035, 'Java': 0.9460637915119549, 'Dockerfile': 0.23370391494930112, 'Batchfile': 0.14194226678410354, 'Yacc': 0.07699302561336924, 'Lua': 0.034136771831975145, 'LLVM': 0.02827292022099091}"
carbondata,1381,4983,173,"2609 days, 13:51:14","{'Scala': 58.87734435577519, 'Java': 38.525623407974216, 'Python': 1.8076212544826216, 'C++': 0.5435343368288481, 'Thrift': 0.11462512144454418, 'ANTLR': 0.07853426109833168, 'Shell': 0.03558108858524465, 'Batchfile': 0.008033806886791015, 'CMake': 0.007622068156778541, 'Dockerfile': 0.001058756734317791, 'C#': 0.00042154203310800935}"
atlas,1641,3776,122,"2234 days, 22:15:29","{'Java': 59.60864284428391, 'JavaScript': 31.560725418478018, 'HTML': 2.916067253840341, 'Python': 2.7940205868028034, 'SCSS': 2.0753199102029924, 'Shell': 0.7426131751920093, 'Smarty': 0.10006699216574509, 'CSS': 0.0908674946503528, 'XSLT': 0.0524464282594687, 'ANTLR': 0.0384148714430623, 'Dockerfile': 0.013641275103632184, 'Makefile': 0.007173749577659432}"
myfaces-tobago,17,12673,15,"2209 days, 8:50:38","{'Java': 41.27276683216384, 'CSS': 25.249211903056114, 'HTML': 16.441084577676442, 'JavaScript': 12.314328833299431, 'TypeScript': 3.307211364847019, 'SCSS': 1.1150356114073714, 'Shell': 0.24595957429670778, 'Dockerfile': 0.05440130325307902}"
netbeans,2377,9009,201,"2196 days, 3:55:48","{'Java': 84.88394574698725, 'Standard ML': 9.263431284977207, 'HTML': 3.1345217033397583, 'PHP': 1.1864800085729723, 'XSLT': 0.41720967342789417, 'JavaScript': 0.39527414900216373, 'C': 0.13610505366635628, 'CSS': 0.11281418007382496, 'Shell': 0.10573144820908871, 'Lex': 0.06976266961843515, 'TypeScript': 0.05382672405294776, 'Roff': 0.040440304512148854, 'FreeMarker': 0.03516533060811787, 'ANTLR': 0.03245195053892695, 'Groovy': 0.026879840331608403, 'GAP': 0.020534585753912572, 'Makefile': 0.013908285286464605, 'Smarty': 0.011021396924649988, 'Latte': 0.009545906003451286, 'Twig': 0.008963701207027734, 'C++': 0.008647256407497661, 'Batchfile': 0.008317939277139245, 'Pug': 0.007663059446247346, 'AspectJ': 0.003299875642557256, 'Perl': 0.002732152218315589, 'SCSS': 0.0016951250659572867, 'Swift': 0.001427219680592419, 'R': 0.0011252562532442297, 'Less': 0.0009882195646341721, 'Haskell': 0.0009721291510987447, 'Rust': 0.0009423618860582037, 'Python': 0.0008940906454519212, 'Ruby': 0.0008860454386842075, 'RenderScript': 0.0005797912343932374, 'Grammatical Framework': 0.0005240111341370888, 'Hack': 0.0005014845551874903, 'HCL': 0.00032851260968164473, 'Dockerfile': 0.0002893592700787712, 'Go': 0.00013355043234404822, 'NASL': 3.861699248502599e-05}"
streampipes,449,10335,54,"1963 days, 9:06:42","{'Java': 58.23629444463035, 'TypeScript': 22.344111680924506, 'HTML': 9.26461891191472, 'Python': 2.9960957401011252, 'SCSS': 2.832742872141831, 'Jupyter Notebook': 2.605906665178051, 'CSS': 0.6773398832423827, 'Shell': 0.6028893556771785, 'JavaScript': 0.23001481606958665, 'Dockerfile': 0.19297710996714088, 'Makefile': 0.01700852015312209}"
myfaces,106,6122,39,"1945 days, 23:54:24","{'Java': 87.65484626312181, 'HTML': 6.094902568119089, 'TypeScript': 5.889007821501218, 'JavaScript': 0.3010322659969142, 'Shell': 0.030329230273909512, 'CSS': 0.029881850987061406}"
